id,title_es,title_en,body_es,body_en,active,sort_order
I001,Certificado de la Universidad Blas Pascal,A Universidad Blas Pascal certificate,Al terminar el curso completo recibís un certificado emitido por la UBP. El único requisito es asistir al 80 por ciento de las clases.,When you finish the full course you receive a certificate issued by UBP. The only requirement is attending 80 per cent of classes.,yes,10
I002,"Presencial, virtual o las dos","In person, online, or both",Las aulas del campus son híbridas: el mismo taller puede dictarse en el aula y por videollamada al mismo tiempo.,The campus classrooms are hybrid: the same workshop can run in the room and on a video call at the same time.,yes,20
I003,Grupos chicos,Small groups,"Un taller abre con un mínimo de diez inscriptos. Si no se llega a ese número, la apertura la deciden el docente y la coordinación.","A workshop opens with a minimum of ten students. Below that number, the teacher and the coordination team decide whether it runs.",yes,30
I004,El calendario,The calendar,Las clases van del 2 de marzo al 30 de noviembre. La inscripción está abierta todo el año: podés sumarte en cualquier mes.,Classes run from 2 March to 30 November. Enrolment is open all year: you can join in any month.,yes,40
I005,Si faltás,If you miss a class,"Si falta el docente se acuerda día y hora para recuperar la clase. Si faltás vos por un tema personal, el mes se abona igual, porque el docente ya tiene reservada esa hora.","If the teacher is absent, a day and time is agreed to make the class up. If you miss for a personal reason, the month is still payable, because the teacher has held that hour for you.",yes,50
I006,Si querés dejar,If you want to leave,"Avisanos antes por WhatsApp, por mail o en persona. No hay contrato ni permanencia mínima.","Let us know in advance by WhatsApp, email or in person. There is no contract and no minimum term.",yes,60
